,NITROGEN SHARE IN NPK (Percent),PHOSPHATE SHARE IN NPK (Percent),POTASH SHARE IN NPK (Percent),LENGTH OF GROWING PERIOD DAYS (Number),TOTAL AREA (1000 ha),GROSS CROPPED AREA (1000 ha),CROPING INTENSITY (Percent),ANNUAL RAINFALL (Millimeters),crop_name,crop_yield
2076,48.9,30.82,20.28,263.0,331.57,533.66,209.66,2419.5,RICE YIELD (Kg per ha),2595.98
2077,54.12,28.05,17.84,263.0,331.57,519.68,203.21,2699.7,RICE YIELD (Kg per ha),2673.44
2078,56.34,27.51,16.15,263.0,331.57,509.46,198.91,2814.2999999999997,RICE YIELD (Kg per ha),2606.44
2079,49.27,29.99,20.73,263.0,331.57,539.3,209.9,2814.2999999999997,RICE YIELD (Kg per ha),2729.15
2080,57.61,25.92,16.47,225.0,625.65,217.59,100.68,901.3,RICE YIELD (Kg per ha),1711.9
2081,60.15,26.59,13.26,225.0,625.65,336.36,113.87,1763.3,RICE YIELD (Kg per ha),2706.49
2082,61.39,26.34,12.28,225.0,625.65,355.83,119.17,1400.9,RICE YIELD (Kg per ha),2527.25
2083,79.42,10.98,9.6,225.0,625.65,376.46,121.78,1781.1,RICE YIELD (Kg per ha),2415.28
2084,55.59,26.24,18.17,225.0,625.65,351.42,113.8,1026.7,RICE YIELD (Kg per ha),2142.93
2085,60.09,29.97,9.94,225.0,625.65,342.49,110.78,1208.7,RICE YIELD (Kg per ha),1838.97
2086,64.89,24.77,10.33,225.0,625.65,355.5,114.96,1347.0,RICE YIELD (Kg per ha),2347.45
2087,64.96,22.04,13.0,225.0,625.65,367.51,117.19,1347.0,RICE YIELD (Kg per ha),2750.89
2088,39.54,34.08,26.38,218.0,1325.17,1441.42,186.17,1412.8,RICE YIELD (Kg per ha),2764.41
2089,42.4,35.55,22.05,218.0,1325.17,1431.59,178.87,1490.8,RICE YIELD (Kg per ha),2638.06
2090,42.99,34.43,22.58,218.0,1325.17,1470.52,183.37,1349.1,RICE YIELD (Kg per ha),2689.03
2091,48.32,24.39,27.29,218.0,1325.17,1496.52,185.78,2053.0,RICE YIELD (Kg per ha),2368.91
2092,43.77,32.06,24.17,218.0,1325.17,1551.61,192.63,1451.8,RICE YIELD (Kg per ha),2731.46
2093,45.1,33.67,21.24,218.0,1325.17,1563.37,194.23,1550.1,RICE YIELD (Kg per ha),2829.84
2094,44.57,33.0,22.43,218.0,1325.17,1530.1,189.4,1551.2666666666664,RICE YIELD (Kg per ha),2886.39
2095,40.84,33.14,26.02,218.0,1325.18,1565.34,193.65,1551.2666666666664,RICE YIELD (Kg per ha),3091.58
2096,50.86,28.93,20.21,294.0,534.38,792.39,172.86,1448.0,RICE YIELD (Kg per ha),2768.66
2097,52.19,28.72,19.1,294.0,534.38,776.33,165.44,1596.5,RICE YIELD (Kg per ha),2643.87
2098,58.68,25.55,15.77,294.0,534.38,787.61,170.01,1317.5,RICE YIELD (Kg per ha),2656.7
2099,57.33,20.38,22.28,294.0,534.38,803.64,173.43,1375.2,RICE YIELD (Kg per ha),2623.38
2100,51.72,24.42,23.86,294.0,534.38,804.34,173.71,1343.0,RICE YIELD (Kg per ha),2804.31
2101,56.13,25.08,18.79,294.0,534.38,847.62,183.11,1140.1,RICE YIELD (Kg per ha),2880.01
